self_time	total_time	line	self_time_per_call	method	num_calls	total_time_per_call	file
1e-06	1e-06	0	1e-06	"method 'values' of 'mappingproxy' objects"	1	1e-06	null
1.3256465	1.8522653	0	2.486211071090652e-07	"method 'get' of 'dict' objects"	5331995	3.4738691615427247e-07	null
0.0053225	0.0053225	0	1.965037288636196e-07	"method 'pop' of 'dict' objects"	27086	1.965037288636196e-07	null
1e-06	1e-06	0	2.5e-07	"method 'keys' of 'dict' objects"	4	2.5e-07	null
0.039171199999999996	0.039171199999999996	0	8.415426161570372e-08	"method 'items' of 'dict' objects"	465469	8.415426161570372e-08	null
0.3930164	0.3930164	0	0.1965082	"method 'clear' of 'dict' objects"	2	0.1965082	null
8e-07	8e-07	0	2.6666666666666667e-07	"method 'copy' of 'list' objects"	3	2.6666666666666667e-07	null
0.050164799999999996	0.050164799999999996	0	1.0366427231172352e-07	"method 'append' of 'list' objects"	483916	1.0366427231172352e-07	null
3e-06	4e-06	0	5e-07	"method 'extend' of 'list' objects"	6	6.666666666666666e-07	null
4.5e-06	4.5e-06	0	4.5e-06	"method 'remove' of 'list' objects"	1	4.5e-06	null
4.1e-06	4.1e-06	0	3.4166666666666664e-07	"built-in method from_bytes"	12	3.4166666666666664e-07	null
6e-07	6e-07	0	1.5e-07	"method 'add' of 'set' objects"	4	1.5e-07	null
9.559999999999999e-05	9.559999999999999e-05	0	1.1949999999999999e-05	"method 'encode' of 'str' objects"	8	1.1949999999999999e-05	null
9.4e-06	9.4e-06	0	3.76e-07	"method 'replace' of 'str' objects"	25	3.76e-07	null
8.1e-06	8.1e-06	0	2.7931034482758624e-07	"method 'split' of 'str' objects"	29	2.7931034482758624e-07	null
3.5e-06	3.5e-06	0	4.375e-07	"method 'rsplit' of 'str' objects"	8	4.375e-07	null
0.186171	1.5587749	0	1.1129969510372451e-06	"method 'join' of 'str' objects"	167270	9.318914927960782e-06	null
8.8e-06	8.8e-06	0	4.0000000000000003e-07	"method 'find' of 'str' objects"	22	4.0000000000000003e-07	null
8e-07	8e-07	0	2e-07	"method 'partition' of 'str' objects"	4	2e-07	null
0.004209699999999999	0.004209699999999999	0	1.5812267588175635e-07	"method 'lower' of 'str' objects"	26623	1.5812267588175635e-07	null
2.5999999999999997e-06	2.5999999999999997e-06	0	1.9999999999999996e-07	"method 'lstrip' of 'str' objects"	13	1.9999999999999996e-07	null
9.4e-06	9.4e-06	0	7.230769230769231e-08	"method 'rstrip' of 'str' objects"	130	7.230769230769231e-08	null
5.199999999999999e-06	5.199999999999999e-06	0	1.793103448275862e-07	"method 'rpartition' of 'str' objects"	29	1.793103448275862e-07	null
1.35e-05	1.35e-05	0	6.75e-06	"method 'strip' of 'str' objects"	2	6.75e-06	null
