file	self_time_per_call	self_time	num_calls	line	total_time_per_call	total_time	method
"C:/Python37/lib/site-packages/mo_testing/fuzzytestcase.py"	6.3e-06	6.3e-06	1	117	1.82e-05	1.82e-05	"assertAlmostEqual"
"C:/Python37/lib/site-packages/mo_testing/fuzzytestcase.py"	4.9999999999999996e-06	4.9999999999999996e-06	1	199	6.4e-06	6.4e-06	"assertAlmostEqualValue"
"C:/Python37/lib/site-packages/mo_testing/fuzzytestcase.py"	1.4e-06	1.4e-06	1	278	1.4e-06	1.4e-06	"is_null_op"
"C:/Python37/lib/site-packages/mo_files/url.py"	5.76e-05	5.76e-05	1	10	0.0001696	0.0001696	"module"
"C:/Python37/lib/site-packages/mo_files/mimetype.py"	4.4e-06	4.4e-06	1	1	6.4e-06	6.4e-06	"module"
"C:/Python37/lib/site-packages/mo_files/url.py"	1.8e-06	1.8e-06	1	15	1.8e-06	1.8e-06	"URL"
"C:/Python37/lib/site-packages/mo_files/url.py"	3.5555555555555553e-07	5.12e-05	144	142	4.354166666666666e-07	6.269999999999999e-05	"int2hex"
"C:/Python37/lib/site-packages/mo_files/url.py"	1.42e-05	1.42e-05	1	161	2.51e-05	2.51e-05	"dictcomp"
"C:/Python37/lib/mimetypes.py"	1.6999999999999998e-06	1.6999999999999998e-06	1	58	1.6999999999999998e-06	1.6999999999999998e-06	"MimeTypes"
"C:/Python37/lib/mimetypes.py"	1.4099999999999999e-05	1.4099999999999999e-05	1	384	1.4099999999999999e-05	1.4099999999999999e-05	"_default_mime_types"
"C:/Python37/lib/mimetypes.py"	1.12e-05	1.12e-05	1	24	4.04e-05	4.04e-05	"module"
"C:/Python37/lib/site-packages/mo_files/__init__.py"	1.4e-06	1.4e-06	1	441	1.4e-06	1.4e-06	"TempDirectory"
"C:/Python37/lib/site-packages/mo_files/__init__.py"	9e-07	9e-07	1	462	9e-07	9e-07	"TempFile"
"C:/Python37/lib/site-packages/mo_files/__init__.py"	2.58e-05	2.58e-05	1	10	0.0020934	0.0020934	"module"
"C:/Python37/lib/site-packages/mo_files/__init__.py"	1.5399999999999998e-05	1.5399999999999998e-05	1	30	1.5399999999999998e-05	1.5399999999999998e-05	"File"
null	3e-07	1.2e-06	4	0	3e-07	1.2e-06	"built-in method __new__ of type object at 0x00007FFF14EA69A0"
null	6.18e-06	3.09e-05	5	0	6.904e-05	0.0003452	"method 'sub' of 're.Pattern' objects"
null	4.5000000000000003e-07	4.5e-06	10	0	4.5000000000000003e-07	4.5e-06	"method 'group' of 're.Match' objects"
null	1e-06	1e-06	1	0	1e-06	1e-06	"method 'total_seconds' of 'datetime.timedelta' objects"
null	5.41391304347826e-05	0.0012452	23	0	5.41391304347826e-05	0.0012452	"built-in method nt.stat"
null	4.9199999999999997e-05	4.9199999999999997e-05	1	0	4.9199999999999997e-05	4.9199999999999997e-05	"built-in method nt.listdir"
null	2.4166666666666665e-07	2.8999999999999998e-06	12	0	2.4166666666666665e-07	2.8999999999999998e-06	"built-in method nt.fspath"
null	0.0330111	0.0660222	2	0	0.0330111	0.0660222	"method 'acquire' of '_thread.lock' objects"
null	2.21e-06	2.21e-05	10	0	2.21e-06	2.21e-05	"built-in method _thread.allocate_lock"
null	1.7857142857142855e-07	2.4999999999999998e-06	14	0	1.7857142857142855e-07	2.4999999999999998e-06	"built-in method _thread.get_ident"
null	3.2174999999999996e-05	0.00012869999999999998	4	0	3.2174999999999996e-05	0.00012869999999999998	"method 'read' of '_io.FileIO' objects"
null	4.9199999999999995e-06	2.4599999999999998e-05	5	0	4.9199999999999995e-06	2.4599999999999998e-05	"method 'write' of '_io.FileIO' objects"
null	8.28e-05	8.28e-05	1	0	8.28e-05	8.28e-05	"method 'write' of '_io.BufferedWriter' objects"
null	4.0799999999999996e-05	4.0799999999999996e-05	1	0	4.0799999999999996e-05	4.0799999999999996e-05	"method 'read' of '_io.BufferedReader' objects"
null	1.7272727272727272e-07	1.9e-06	11	0	1.7272727272727272e-07	1.9e-06	"method 'flush' of '_io._IOBase' objects"
null	0.00026605	0.0005321	2	0	0.00026605	0.0005321	"built-in method io.open"
null	2.37e-05	2.37e-05	1	0	2.37e-05	2.37e-05	"method 'decode' of 'bytes' objects"
null	9e-07	9e-07	1	0	9e-07	9e-07	"method 'values' of 'mappingproxy' objects"
null	1.6761859439491886e-07	0.0711494	424472	0	2.3907701803652536e-07	0.1014815	"method 'get' of 'dict' objects"
null	2.5e-07	5e-07	2	0	2.5e-07	5e-07	"method 'pop' of 'dict' objects"
null	1.5e-07	3e-07	2	0	1.5e-07	3e-07	"method 'keys' of 'dict' objects"
null	5e-07	5e-07	1	0	5e-07	5e-07	"method 'items' of 'dict' objects"
null	0.4027459	0.4027459	1	0	0.4027459	0.4027459	"method 'clear' of 'dict' objects"
null	2e-07	6e-07	3	0	2e-07	6e-07	"method 'copy' of 'list' objects"
null	2e-07	4e-07	2	0	2e-07	4e-07	"method 'append' of 'list' objects"
null	8.333333333333332e-07	2.4999999999999998e-06	3	0	1.2333333333333333e-06	3.6999999999999997e-06	"method 'extend' of 'list' objects"
null	4.9999999999999996e-06	4.9999999999999996e-06	1	0	4.9999999999999996e-06	4.9999999999999996e-06	"method 'remove' of 'list' objects"
null	2.4166666666666665e-07	2.8999999999999998e-06	12	0	2.4166666666666665e-07	2.8999999999999998e-06	"built-in method from_bytes"
null	1.75e-07	7e-07	4	0	1.75e-07	7e-07	"method 'add' of 'set' objects"
null	1.7483333333333333e-05	0.0001049	6	0	1.7483333333333333e-05	0.0001049	"method 'encode' of 'str' objects"
null	3.65e-07	7.2999999999999996e-06	20	0	3.65e-07	7.2999999999999996e-06	"method 'replace' of 'str' objects"
null	3.08695652173913e-07	7.1e-06	23	0	3.08695652173913e-07	7.1e-06	"method 'split' of 'str' objects"
null	5.75e-07	4.6e-06	8	0	5.75e-07	4.6e-06	"method 'rsplit' of 'str' objects"
