line	num_calls	total_time_per_call	total_time	file	method	self_time	self_time_per_call
1072	1	3.36e-05	3.36e-05	"C:/Users/kyle/code/mo-parsing/mo_parsing/tokens.py"	"__init__"	6e-06	6e-06
1077	60636	1.2263952107658815e-06	0.07436369999999999	"C:/Users/kyle/code/mo-parsing/mo_parsing/tokens.py"	"parseImpl"	0.038908399999999996	6.41671614222574e-07
131	1	1.5e-06	1.5e-06	"C:/Users/kyle/code/mo-parsing/mo_parsing/helpers.py"	"_flatten"	9e-07	9e-07
588	1	5e-07	5e-07	"C:/Users/kyle/code/mo-parsing/mo_parsing/helpers.py"	"replaceWith"	5e-07	5e-07
1040	1	9e-07	9e-07	"C:/Users/kyle/code/mo-parsing/mo_parsing/helpers.py"	"reset_stack"	9e-07	9e-07
117	1	1.55e-05	1.55e-05	"C:/Python37/lib/site-packages/mo_testing/fuzzytestcase.py"	"assertAlmostEqual"	5.4e-06	5.4e-06
199	1	5.899999999999999e-06	5.899999999999999e-06	"C:/Python37/lib/site-packages/mo_testing/fuzzytestcase.py"	"assertAlmostEqualValue"	4.4e-06	4.4e-06
278	1	1.5e-06	1.5e-06	"C:/Python37/lib/site-packages/mo_testing/fuzzytestcase.py"	"is_null_op"	1.5e-06	1.5e-06
1	1	7.499999999999999e-06	7.499999999999999e-06	"C:/Python37/lib/site-packages/mo_files/mimetype.py"	"module"	5.5e-06	5.5e-06
15	1	1.6999999999999998e-06	1.6999999999999998e-06	"C:/Python37/lib/site-packages/mo_files/url.py"	"URL"	1.6999999999999998e-06	1.6999999999999998e-06
142	144	4.7152777777777776e-07	6.79e-05	"C:/Python37/lib/site-packages/mo_files/url.py"	"int2hex"	5.4499999999999997e-05	3.784722222222222e-07
161	1	2.8499999999999998e-05	2.8499999999999998e-05	"C:/Python37/lib/site-packages/mo_files/url.py"	"dictcomp"	1.57e-05	1.57e-05
58	1	1.8e-06	1.8e-06	"C:/Python37/lib/mimetypes.py"	"MimeTypes"	1.8e-06	1.8e-06
384	1	8.4e-06	8.4e-06	"C:/Python37/lib/mimetypes.py"	"_default_mime_types"	8.4e-06	8.4e-06
24	1	3.8599999999999996e-05	3.8599999999999996e-05	"C:/Python37/lib/mimetypes.py"	"module"	1.4099999999999999e-05	1.4099999999999999e-05
30	1	1.77e-05	1.77e-05	"C:/Python37/lib/site-packages/mo_files/__init__.py"	"File"	1.77e-05	1.77e-05
441	1	1.2e-06	1.2e-06	"C:/Python37/lib/site-packages/mo_files/__init__.py"	"TempDirectory"	1.2e-06	1.2e-06
462	1	1e-06	1e-06	"C:/Python37/lib/site-packages/mo_files/__init__.py"	"TempFile"	1e-06	1e-06
10	1	0.0027256999999999997	0.0027256999999999997	"C:/Python37/lib/site-packages/mo_files/__init__.py"	"module"	3.02e-05	3.02e-05
0	4	3.2499999999999996e-07	1.2999999999999998e-06	null	"built-in method __new__ of type object at 0x00007FFF14EA69A0"	1.2999999999999998e-06	3.2499999999999996e-07
